dTime;Accel_X;Accel_Y;Accel_Z;Gyro_X;Gyro_Y;Gyro_Z;Mag_X;Mag_Y;Mag_Z;q1;q2;q3;q4
[s];[m/s^2];[m/s^2];[m/s^2];[rad/s];[rad/s];[rad/s];[uT];[uT];[uT];[-];[-];[-];[-]

7.163000;-0.062500;-0.160156;9.871094;-0.001953;-0.001953;0.000000;-2.500000;19.312500;-39.750000;-0.007446;0.003845;0.000000;0.999939
7.175001;-0.062500;-0.160156;9.871094;-0.001953;-0.001953;0.000000;-3.625000;19.000000;-39.750000;-0.007446;0.003845;0.000000;0.999939
7.212000;-0.101563;-0.160156;9.871094;0.000000;0.000000;0.001953;-3.625000;19.000000;-39.750000;-0.007385;0.003845;0.000000;0.999939
7.227999;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.001953;-3.250000;18.250000;-39.312500;-0.007385;0.003845;0.000000;0.999939
7.242998;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.001953;-3.250000;18.250000;-39.312500;-0.007385;0.003845;0.000000;0.999939
7.275000;-0.062500;-0.160156;9.835938;-0.001953;0.001953;-0.001953;-2.500000;19.312500;-40.125000;-0.007446;0.003784;0.000061;0.999939
7.282999;-0.062500;-0.160156;9.835938;-0.001953;0.001953;-0.001953;-2.500000;19.312500;-40.125000;-0.007446;0.003784;0.000061;0.999939
7.312998;-0.062500;-0.160156;9.835938;0.000000;0.000000;0.000000;-2.500000;19.312500;-40.125000;-0.007507;0.003784;0.000000;0.999939
7.328001;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-1.812500;20.062500;-38.937500;-0.007507;0.003784;0.000000;0.999939
7.342001;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-1.812500;20.062500;-38.937500;-0.007507;0.003784;0.000000;0.999939
7.387999;-0.101563;-0.160156;9.871094;0.001953;0.000000;-0.001953;-2.187500;19.000000;-39.312500;-0.007507;0.003784;0.000061;0.999939
7.392000;-0.101563;-0.160156;9.871094;0.001953;0.000000;-0.001953;-2.187500;19.000000;-39.312500;-0.007507;0.003784;0.000061;0.999939
7.425001;-0.101563;-0.160156;9.871094;0.001953;0.000000;0.001953;-3.250000;18.250000;-40.125000;-0.007507;0.003784;0.000061;0.999939
7.432001;-0.101563;-0.160156;9.871094;0.001953;0.000000;0.001953;-3.250000;18.250000;-40.125000;-0.007507;0.003784;0.000061;0.999939
7.462000;-0.062500;-0.160156;9.871094;0.001953;0.001953;0.001953;-3.250000;18.250000;-40.125000;-0.007507;0.003723;0.000061;0.999939
7.476999;-0.101563;-0.121094;9.871094;0.001953;0.001953;0.001953;-1.812500;19.687500;-39.375000;-0.007507;0.003723;0.000061;0.999939
7.492998;-0.101563;-0.121094;9.871094;0.001953;0.001953;0.001953;-1.812500;19.687500;-39.375000;-0.007507;0.003723;0.000061;0.999939
7.525999;-0.062500;-0.121094;9.871094;-0.001953;0.000000;0.001953;-3.625000;19.000000;-40.937500;-0.007507;0.003723;0.000061;0.999939
7.532999;-0.062500;-0.121094;9.871094;-0.001953;0.000000;0.001953;-3.625000;19.000000;-40.937500;-0.007507;0.003723;0.000061;0.999939
7.579000;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.000000;-2.500000;20.437500;-39.375000;-0.007568;0.003723;0.000061;0.999939
7.582998;-0.062500;-0.121094;9.871094;0.000000;0.000000;0.000000;-2.500000;20.437500;-39.375000;-0.007568;0.003723;0.000061;0.999939
7.613001;-0.101563;-0.160156;9.871094;0.000000;0.003906;-0.001953;-2.500000;20.437500;-39.375000;-0.007507;0.003784;0.000061;0.999939
7.624998;-0.101563;-0.160156;9.871094;0.000000;0.003906;-0.001953;-3.250000;18.625000;-40.125000;-0.007507;0.003784;0.000061;0.999939
7.652998;-0.062500;-0.160156;9.871094;-0.005859;0.000000;0.000000;-3.250000;18.625000;-40.125000;-0.007507;0.003784;0.000061;0.999939
7.668001;-0.062500;-0.160156;9.871094;-0.005859;0.000000;0.000000;-2.500000;18.625000;-38.937500;-0.007507;0.003784;0.000061;0.999939
7.682001;-0.062500;-0.160156;9.871094;-0.005859;0.000000;0.000000;-2.500000;18.625000;-38.937500;-0.007507;0.003784;0.000061;0.999939
7.712000;-0.101563;-0.160156;9.835938;-0.001953;0.000000;0.000000;-2.500000;18.625000;-38.937500;-0.007507;0.003784;0.000061;0.999939
7.740000;-0.062500;-0.160156;9.871094;-0.001953;0.000000;0.000000;-1.812500;18.625000;-40.562500;-0.007507;0.003784;0.000061;0.999939
7.760000;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-1.812500;18.625000;-40.562500;-0.007507;0.003784;0.000061;0.999939
7.775000;-0.062500;-0.160156;9.871094;0.000000;0.000000;0.000000;-2.875000;17.500000;-40.187500;-0.007507;0.003784;0.000061;0.999939
7.802999;-0.062500;-0.121094;9.871094;0.000000;0.001953;0.001953;-2.875000;17.500000;-40.187500;-0.007507;0.003845;0.000061;0.999939
7.811998;-0.062500;-0.121094;9.871094;0.000000;0.001953;0.001953;-2.875000;17.500000;-40.187500;-0.007507;0.003845;0.000061;0.999939
7.839998;-0.101563;-0.121094;9.871094;0.000000;0.001953;0.001953;-2.875000;18.625000;-39.750000;-0.007507;0.003845;0.000061;0.999939
7.859999;-0.062500;-0.160156;9.871094;0.007813;0.003906;0.000000;-2.875000;18.625000;-39.750000;-0.007507;0.003845;0.000122;0.999939
7.875998;-0.062500;-0.160156;9.871094;0.007813;0.003906;0.000000;-3.625000;18.625000;-40.187500;-0.007507;0.003845;0.000122;0.999939
7.900999;-0.062500;-0.160156;9.871094;-0.001953;0.000000;0.001953;-3.625000;18.625000;-40.187500;-0.007568;0.003906;0.000122;0.999939
7.929998;-0.101563;-0.121094;9.871094;-0.001953;0.000000;0.001953;-2.875000;19.312500;-38.937500;-0.007568;0.003906;0.000122;0.999939
7.950998;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.001953;-2.875000;19.312500;-38.937500;-0.007568;0.003845;0.000122;0.999939
7.962000;-0.062500;-0.160156;9.871094;0.000000;-0.001953;0.001953;-2.875000;19.312500;-38.937500;-0.007568;0.003845;0.000122;0.999939
7.990000;-0.062500;-0.160156;9.835938;0.000000;-0.001953;0.001953;-2.187500;19.312500;-40.187500;-0.007568;0.003845;0.000122;0.999939
8.009998;-0.062500;-0.160156;9.871094;-0.003906;-0.001953;0.000000;-2.187500;19.312500;-40.187500;-0.007568;0.003845;0.000122;0.999939
8.027996;-0.062500;-0.160156;9.871094;-0.003906;-0.001953;0.000000;-2.500000;20.437500;-39.750000;-0.007568;0.003845;0.000122;0.999939
8.049999;-0.062500;-0.160156;9.835938;0.001953;0.000000;0.001953;-2.500000;20.437500;-39.750000;-0.007568;0.003845;0.000061;0.999939
8.061996;-0.062500;-0.160156;9.835938;0.001953;0.000000;0.001953;-2.500000;20.437500;-39.750000;-0.007568;0.003845;0.000061;0.999939
8.107998;-0.062500;-0.160156;9.871094;0.001953;0.000000;-0.001953;-4.000000;19.312500;-39.375000;-0.007568;0.003784;0.000061;0.999939
8.112999;-0.062500;-0.160156;9.871094;0.001953;0.000000;-0.001953;-4.000000;19.312500;-39.375000;-0.007568;0.003784;0.000061;0.999939
8.139996;-0.101563;-0.160156;9.871094;0.001953;0.000000;-0.001953;-3.625000;19.312500;-39.750000;-0.007568;0.003784;0.000061;0.999939
8.157997;-0.101563;-0.160156;9.871094;0.003906;0.000000;0.001953;-3.625000;19.312500;-39.750000;-0.007568;0.003784;0.000061;0.999939
8.179996;-0.062500;-0.160156;9.871094;0.003906;0.000000;0.001953;-2.875000;18.625000;-39.750000;-0.007568;0.003784;0.000061;0.999939
8.191998;-0.062500;-0.160156;9.871094;0.003906;0.000000;0.001953;-2.875000;18.625000;-39.750000;-0.007568;0.003784;0.000061;0.999939
8.224998;-0.101563;-0.121094;9.871094;-0.003906;0.001953;0.001953;-3.250000;17.500000;-39.375000;-0.007629;0.003784;0.000122;0.999939
8.234997;-0.062500;-0.121094;9.871094;-0.003906;0.001953;0.001953;-3.250000;17.500000;-39.375000;-0.007629;0.003784;0.000122;0.999939
8.275997;-0.062500;-0.160156;9.871094;0.003906;0.001953;0.001953;-1.812500;19.312500;-40.125000;-0.007629;0.003784;0.000122;0.999939
